"UserId","verb_id","verb","feature_raw"
"16ada1d593e-a13-faa1-a5bf-cd71",20,"kloppen","wanneer dingen juist zijn"
"16ada1d593e-a13-faa1-a5bf-cd71",10,"marcheren","in een groep"
"16ada1d593e-a13-faa1-a5bf-cd71",10,"marcheren","soldaten"
"16ada1d593e-a13-faa1-a5bf-cd71",10,"marcheren","synchroon"
"16ada1d593e-a13-faa1-a5bf-cd71",10,"marcheren","op de maat van muziek"
"16ada1d593e-a13-faa1-a5bf-cd71",10,"marcheren","harmonie"
"16ada1d593e-a13-faa1-a5bf-cd71",10,"marcheren","muziekcorps"
"16ada1d593e-a13-faa1-a5bf-cd71",10,"marcheren","uniform dragen"
"16ada1d593e-a13-faa1-a5bf-cd71",3,"dolen","doelloos"
"16ada1d593e-a13-faa1-a5bf-cd71",3,"dolen","rondlopen"
"16ada1d593e-a13-faa1-a5bf-cd71",3,"dolen","verdwaald zijn"
"16ada1d593e-a13-faa1-a5bf-cd71",3,"dolen","langzaam voortbewegen"
"16ada1d593e-a13-faa1-a5bf-cd71",3,"dolen","alleen zijn"
"16ada1d593e-a13-faa1-a5bf-cd71",3,"dolen","doolhof"
"16ada1d593e-a13-faa1-a5bf-cd71",1,"afdalen","naar beneden gaan"
"16ada1d593e-a13-faa1-a5bf-cd71",1,"afdalen","een berg"
"16ada1d593e-a13-faa1-a5bf-cd71",1,"afdalen","een trap"
"16ada1d593e-a13-faa1-a5bf-cd71",1,"afdalen","slechter worden"
"16ada1d593e-a13-faa1-a5bf-cd71",1,"afdalen","met beleid"
"16ada1d593e-a13-faa1-a5bf-cd71",21,"slaaten","ergens iets uithalen"
"16ada1d593e-a13-faa1-a5bf-cd71",21,"slaaten","voordeel halen"
"16ada1d593e-a13-faa1-a5bf-cd71",21,"slaaten","slaan"
"16ada1d593e-a13-faa1-a5bf-cd71",21,"slaaten","negatief"
"16ada1d593e-a13-faa1-a5bf-cd71",21,"slaaten","salade"
"16ada7e49b7-ce39-67ff-7fe-9052",8,"kuieren","relaxed"
"16ada7e49b7-ce39-67ff-7fe-9052",8,"kuieren","lopen"
"16ada7e49b7-ce39-67ff-7fe-9052",8,"kuieren","bewegen"
"16ada7e49b7-ce39-67ff-7fe-9052",8,"kuieren","blokje om"
"16ada7e49b7-ce39-67ff-7fe-9052",8,"kuieren","slenter"
"16ada7e49b7-ce39-67ff-7fe-9052",18,"hakken","schoen"
"16ada7e49b7-ce39-67ff-7fe-9052",18,"hakken","zool"
"16ada7e49b7-ce39-67ff-7fe-9052",18,"hakken","verhoging"
"16ada7e49b7-ce39-67ff-7fe-9052",18,"hakken","voet"
"16ada7e49b7-ce39-67ff-7fe-9052",18,"hakken","lengte"
"16ada7e49b7-ce39-67ff-7fe-9052",11,"schuifelen","bewegen"
"16ada7e49b7-ce39-67ff-7fe-9052",11,"schuifelen","kleine stapjes"
"16ada7e49b7-ce39-67ff-7fe-9052",11,"schuifelen","voeten"
"16ada7e49b7-ce39-67ff-7fe-9052",11,"schuifelen","lopen"
"16ada7e49b7-ce39-67ff-7fe-9052",11,"schuifelen","langzaam"
"16ada7e49b7-ce39-67ff-7fe-9052",17,"snijden","mes"
"16ada7e49b7-ce39-67ff-7fe-9052",17,"snijden","stukjes"
"16ada7e49b7-ce39-67ff-7fe-9052",17,"snijden","doormidden"
"16ada7e49b7-ce39-67ff-7fe-9052",17,"snijden","bewegen"
"16ada7e49b7-ce39-67ff-7fe-9052",17,"snijden","hand"
"16ada7e49b7-ce39-67ff-7fe-9052",17,"snijden","arm"
"16ada7e49b7-ce39-67ff-7fe-9052",17,"snijden","zagen"
"16ada7e49b7-ce39-67ff-7fe-9052",17,"snijden","kapot"
"16ada7e49b7-ce39-67ff-7fe-9052",3,"dolen","bewegen"
"16ada7e49b7-ce39-67ff-7fe-9052",3,"dolen","verplaatsen"
"16ada7e49b7-ce39-67ff-7fe-9052",3,"dolen","lopen"
"16ada7e49b7-ce39-67ff-7fe-9052",3,"dolen","doelloos"
"16ada7e49b7-ce39-67ff-7fe-9052",3,"dolen","trekken"
"16ada7e49b7-ce39-67ff-7fe-9052",10,"marcheren","lopen"
"16ada7e49b7-ce39-67ff-7fe-9052",10,"marcheren","beenbeweging"
"16ada7e49b7-ce39-67ff-7fe-9052",10,"marcheren","handbeweging"
"16ada7e49b7-ce39-67ff-7fe-9052",10,"marcheren","leger"
"16ada7e49b7-ce39-67ff-7fe-9052",10,"marcheren","heffen"
"16ada7e49b7-ce39-67ff-7fe-9052",10,"marcheren","grote beweging"
"16ada7e49b7-ce39-67ff-7fe-9052",5,"haasten","snel"
"16ada7e49b7-ce39-67ff-7fe-9052",5,"haasten","bewegen"
"16ada7e49b7-ce39-67ff-7fe-9052",5,"haasten","tijdgebrek"
"16ada7e49b7-ce39-67ff-7fe-9052",5,"haasten","gaan"
"16ada7e49b7-ce39-67ff-7fe-9052",5,"haasten","afspraak"
"16ada7e49b7-ce39-67ff-7fe-9052",6,"hardlopen","bewegen"
"16ada7e49b7-ce39-67ff-7fe-9052",6,"hardlopen","lopen"
"16ada7e49b7-ce39-67ff-7fe-9052",6,"hardlopen","voeten"
"16ada7e49b7-ce39-67ff-7fe-9052",6,"hardlopen","hartslag"
"16ada7e49b7-ce39-67ff-7fe-9052",6,"hardlopen","snel"
"16ada7e49b7-ce39-67ff-7fe-9052",6,"hardlopen","beenbeweging"
"16ada7e49b7-ce39-67ff-7fe-9052",6,"hardlopen","armbeweging"
"16ada7e49b7-ce39-67ff-7fe-9052",6,"hardlopen","rennen"
"16ada7e49b7-ce39-67ff-7fe-9052",19,"knippen","schaar"
"16ada7e49b7-ce39-67ff-7fe-9052",19,"knippen","doormidden"
"16ada7e49b7-ce39-67ff-7fe-9052",19,"knippen","kapot"
"16ada7e49b7-ce39-67ff-7fe-9052",19,"knippen","bewegen"
"16ada7e49b7-ce39-67ff-7fe-9052",19,"knippen","arm"
"16ada7e49b7-ce39-67ff-7fe-9052",19,"knippen","hand"
"16ada7e49b7-ce39-67ff-7fe-9052",19,"knippen","vorm"
"16ada7e49b7-ce39-67ff-7fe-9052",16,"wijken","bewegen"
"16ada7e49b7-ce39-67ff-7fe-9052",16,"wijken","verplaatsen"
"16ada7e49b7-ce39-67ff-7fe-9052",16,"wijken","omheen"
"16ada7e49b7-ce39-67ff-7fe-9052",16,"wijken","in de weg"
"16ada7e49b7-ce39-67ff-7fe-9052",16,"wijken","weggaan"
"16ada7e49b7-ce39-67ff-7fe-9052",15,"walsen","dans"
"16ada7e49b7-ce39-67ff-7fe-9052",15,"walsen","beweging"
"16ada7e49b7-ce39-67ff-7fe-9052",15,"walsen","muziek"
"16ada7e49b7-ce39-67ff-7fe-9052",15,"walsen","ouderwets"
"16ada7e49b7-ce39-67ff-7fe-9052",15,"walsen","heen en weer"
"16ada7e49b7-ce39-67ff-7fe-9052",12,"slingeren","bocht"
"16ada7e49b7-ce39-67ff-7fe-9052",12,"slingeren","bewegen"
