"verb","feature_raw","feature_clean","feature_revised","revision","feature_type","feature_english","comment"
"slingeren","feestgelegenheid","feestgelegenheid","","","","",""
"slingeren","jarig","jarig","","","","",""
"haasten","geen tijd","geen tijd","","","","",""
"haasten","te laat","te laat","","","","",""
"haasten","-","-","","","","",""
"schuifelen","dansen","dansen","","","","",""
"schuifelen","dichtbij","dichtbij","","","","",""
"schuifelen","twee personen","twee personen","","","","",""
"schuifelen","muziek","muziek","","","","",""
"afdalen","zakken","zakken","","","","",""
"afdalen","bergen","bergen","","","","",""
"afdalen","afleiding","afleiding","","","","",""
"afdalen","slechter gaan","slechter gaan","","","","",""
"wijken","vorm veranderen","vorm veranderen","","","","",""
"wijken","kracht","kracht","","","","",""
"wijken","sterk","sterk","","","","",""
"wijken","flexibel","flexibel","","","","",""
"wijken","warmte","warmte","","","","",""
"slaaten","ik weet niet wat dit betekend","ik weet niet wat dit betekend","","","","",""
"slaaten","wat is slaaten?","wat is slaaten?","","","","",""
"slaaten","ik weet niet of ik dit mag opzoeken?","ik weet niet of ik dit mag opzoeken?","","","","",""
"slaaten","ik moet 5 vakjes vullen","ik moet 5 vakjes vullen","","","","",""
"slaaten","sorry voor dit antwoord","sorry voor dit antwoord","","","","",""
"kuieren","relax","relax","","","","",""
"kuieren","geen stress","geen stress","","","","",""
"kuieren","genieten","genieten","","","","",""
"kuieren","op het gemak","op het gemak","","","","",""
"kloppen","op de deur","op de deur","","","","",""
"kloppen","ook in de keuken","ook in de keuken","","","","",""
"kloppen","opendoen","opendoen","","","","",""
"kloppen","correct","correct","","","","",""
"kloppen","meerdere zijn juist","meerdere zijn juist","","","","",""
"klimmen","hoogte","hoogte","","","","",""
"klimmen","bergen","bergen","","","","",""
"klimmen","vast aan touwen","vast aan touwen","","","","",""
"klimmen","boom","boom","","","","",""
"dolen","?","?","","","","",""
"snijden","keuken","keuken","","","","",""
"snijden","voorzichtig","voorzichtig","","","","",""
"snijden","scherp en bot","scherp en bot","","","","",""
